Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Vector_menu_drinks,,,,,,,,,,
English Menu,,,,,,,Chinese Menu,,,,,
ID,Drink_name,Drink_status,Drink_ingredients_a,Drink_ingredients_b,Menu_drinks_id,Unknown,,,,,,
1,Milk Tea,hot,milk,tea,701,,香滑奶茶,,,,,
2,Milk Tea,cold,milk,tea,702,,香滑奶茶,,,,,
3,Coffee,hot,,,703,,香濃咖啡(熱),,,,,
4,Coffee,cold,,,704,,香濃咖啡(凍),,,,,
5,Mixed Coffee&Tea,hot,,,705,,鴛鴦(熱),,,,,
6,Mixed Coffee&Tea,cold,,,706,,鴛鴦(凍),,,,,
7,Lemon Water,hot,lemon,water,707,,檸檬水,,,,,
8,Lemon Water,cold,lemon,water,708,,檸檬水,,,,,
9,Lemon Tea,hot,lemon,tea,709,,檸檬茶(熱),,,,,
10,Lemon Tea,cold,lemon,tea,710,,檸檬茶(凍),,,,,
11,Hokkaido Milk,cold,milk,,711,,北海道3.6牛奶,,,,,
12,Ovaltine,hot,,,712,,阿華田(凍),,,,,
13,Ovaltine,cold,,,713,,阿華田(熱),,,,,
14,Chocolate,hot,chocolate,,714,,特濃朱古力 ,,,,,
15,Chocolate,cold,chocolate,,714,,特濃朱古力 ,,,,,
16,Almond Milk,hot,Almond,milk,715,,杏仁霜(凍),,,,,
17,Almond Milk,cold,Almond,milk,715,,杏仁霜(熱),,,,,
18,Cress Honey,hot,,honey,716,,西洋菜蜜,,,,,
19,Soda,cold,soda,,717,,汽水,,,,,
20,Red Bean Brew ,cold,Red bean,,718,,經典紅豆冰,,,,,
21,Fruit bunch,cold,fruit,,719,,菠蘿 賓治,,,,,
22,Pineapple bunch,cold,pineapple,,720,,什果賓治,,,,,
23,Lime Soda,cold,lime,soda,721,,咸檸t,,,,,
24,Vernon Chayley & Coke,cold,Veron Chaley,soda,722,,龍鳳檸樂,,,,,
25,Icecream chocolate,cold,chocolate,icecream,723,,雪山特濃朱古力,,,,,
26,Peach red tea,cold,peach,tea,724,,水蜜桃紅茶,,,,,
27,Passion fruit tea,cold,passion fruit,tea,725,,百香果紅荼,,,,,
28,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ID,,,,,,,,,,,,
1,,,,,,,,,,,,
2,,,,,,,,,,,,
3,,,,,,,,,,,,
4,,,,,,,,,,,,
5,,,,,,,,,,,,
6,,,,,,,,,,,,
7,,,,,,,,,,,,
8,,,,,,,,,,,,
9,,,,,,,,,,,,
10,,,,,,,,,,,,
11,,,,,,,,,,,,
12,,,,,,,,,,,,
13,,,,,,,,,,,,
14,,,,,,,,,,,,
15,,,,,,,,,,,,
16,,,,,,,,,,,,
17,,,,,,,,,,,,
18,,,,,,,,,,,,
19,,,,,,,,,,,,
20,,,,,,,,,,,,
21,,,,,,,,,,,,
22,,,,,,,,,,,,
23,,,,,,,,,,,,
24,,,,,,,,,,,,
25,,,,,,,,,,,,
26,,,,,,,,,,,,
27,,,,,,,,,,,,
28,,,,,,,,,,,,
29,,,,,,,,,,,,
30,,,,,,,,,,,,
31,,,,,,,,,,,,
32,,,,,,,,,,,,
33,,,,,,,,,,,,
34,,,,,,,,,,,,
35,,,,,,,,,,,,
36,,,,,,,,,,,,
37,,,,,,,,,,,,
38,,,,,,,,,,,,
39,,,,,,,,,,,,
40,,,,,,,,,,,,
41,,,,,,,,,,,,
42,,,,,,,,,,,,
43,,,,,,,,,,,,
44,,,,,,,,,,,,
45,,,,,,,,,,,,
46,,,,,,,,,,,,
47,,,,,,,,,,,,
48,,,,,,,,,,,,
49,,,,,,,,,,,,
50,,,,,,,,,,,,
51,,,,,,,,,,,,
52,,,,,,,,,,,,
53,,,,,,,,,,,     , 
54,,,,,,,,,,,,
55,,,,,,,,,,,,
56,,,,,,,,,,,,
57,,,,,,,,,,,,
58,,,,,,,,,,,,
59,,,,,,,,,,,,
60,,,,,,,,,,,,
61,,,,,,,,,,,,
62,,,,,,,,,,,,
